thread_id,timestamp,user_query,response
1,18:01:55,When was the University of Ruhuna established?,"
Based on the search results, the University of Ruhuna was established by a Special Presidential Decree in **1978**. It was initially established as Ruhuna University College and was elevated to a fully-fledged university in **1984**.

The university is Sri Lanka's sixth oldest university and is the only university in the country's southern region, with ten faculties spread across three prominent locations."
1,18:02:50,When was the University of Ruhuna established?,"
Based on the search results, the University of Ruhuna was established by a Special Presidential Decree in **1978**. 

Initially, it was established as Ruhuna University College and was later elevated to a fully-fledged university in **1984**. The university is Sri Lanka's sixth oldest university and is the only university in the country's southern region."
1,18:08:54,Who serves as the Controlling Chief of examinations for a Department?,"

Based on the exam manual, the **Head of the Department (HoD)** serves as the Controlling Chief of examinations for a Department.

According to the regulations:
- When an examination is conducted for a course unit/module conducted under a Department, the Head of the relevant Department (HoD) will serve as the controlling chief of examination.
- In the event that the course unit/module is not conducted under a Department, the controlling chief should be the HoD of the Department to which the Chief Examiner belongs to, or a senior academic appointed by the Senate on the recommendation of the Faculty Board.

The Controlling Chief is responsible for:
- Nominating question paper setters, moderators, and marking examiners
- Ensuring marking is completed within stipulated time
- Maintaining appropriate records related to in-course assessments
- Ensuring assessment components and weightages are correct
- Checking the distribution of student performance
- Reporting any misconduct, error, or negligence to the Dean of the Faculty"
1,18:10:18,What scholarships are available for students?,"
Based on the student handbook, several scholarships are available for students at the University of Ruhuna:

## Main Scholarship Categories:

### 1. **Mahapola Higher Education Scholarships**
- Administered by the University Grants Commission (UGC)
- Selection criteria include:
  - Parent's income
  - Number of siblings studying under 18 years of age
  - Distance from student's home to university
  - Student's rank at district level
- Amount and number of installments are decided by the Mahapola Scholarship trust fund

### 2. **Bursaries**
- Available for students who were not eligible for Mahapola Scholarships
- Same selection factors as Mahapola scholarships are applied
- University administration issues bursary applications to all students who gain admission

### 3. **Faculty of Engineering Scholarships**
- Additional scholarship schemes offered by the Faculty of Engineering
- Administered by the Engineering Faculty Scholarship Committee (EFSC)
- Selection considers:
  - Level of financial status
  - Academic performance
  - Achievement at extra-curricular activities

## Specific Scholarships Mentioned:

- **K. G. K. Wedahitha Scholarship** - For students with Advanced Level Examination results, financial difficulties, and specific school backgrounds (Sujatha Balika Vidyalaya and Walgama Maha Vidyalaya, Matara)

- **Lions Club, Hikkaduwa** - For financial difficulties

- **Anonymous Private Sponsors** - For financial difficulties/critical health conditions

- **Chinese Ambassador Scholarships** - For financial difficulties

- **IESL Ruhuna Chapter** - For financial difficulties

- **Matara Bhodi Arakshaka Sabha** - Application process arranged through Faculty of Engineering

- **YMBA - Colombo** - (specific details not provided)

*Note: Selection criteria might change without notice, and students are encouraged to check with the university administration for the most current information.*"
1,18:13:41,When was the University of Ruhuna established?,"
Based on the search results from the faculty search tool, the University of Ruhuna was established by a Special Presidential Decree in **1978**. It was initially established as Ruhuna University College and was later elevated to a fully-fledged university in **1984**.

The university is Sri Lanka's sixth oldest university and is the only university in the country's southern region, with ten faculties spread across three prominent locations."
1,18:15:54,What is the minimum attendance requirement for a physical lecture?,"
Based on the student handbook, the minimum attendance requirement for physical lectures is **80% attendance for theory classes**.

Additionally, students must **complete all laboratory sessions/field sessions/design sessions/workcamp(s)/project(s)** to be eligible to appear for the end-semester examinations of the relevant course module.

The handbook emphasizes that simply copying other students' lecture notes is not sufficient, as much explanation that is rarely recorded in students' notes will be missed, and there's a risk of repeating errors made by others.

For absences due to illness, disability, or other acceptable reasons, students should request an excuse from the relevant module coordinator with supporting documents and the recommendation of their academic advisor within one week from the date of reporting to the Faculty."
1,18:17:43,Who serves as the Controlling Chief of examinations for a Department?,"

Based on the exam manual, the **Head of the Department (HoD)** serves as the Controlling Chief of examinations for a Department.

According to the regulations:
- When an examination is conducted for a course unit/module conducted under a Department, the Head of the relevant Department (HoD) will serve as the controlling chief of examination.
- In the event that the course unit/module is not conducted under a Department, the controlling chief should be the HoD of the Department to which the Chief Examiner belongs to, or a senior academic appointed by the Senate on the recommendation of the Faculty Board.

The Controlling Chief is responsible for:
- Nominating question paper setters, moderators, and marking examiners
- Ensuring marking is completed within stipulated time
- Maintaining appropriate records related to in-course assessments
- Ensuring assessment components and weightages are correct
- Checking the distribution of student performance
- Reporting any misconduct, error, or negligence to the Dean of the Faculty"
1,18:20:38,How many departments available in the faculty?,"
Based on the search results, the Faculty of Engineering, University of Ruhuna has **four academic departments**. However, there appears to be some discrepancy in the department names listed:

According to one source, the departments are:
1. Civil and Environmental Engineering
2. Electrical and Information Engineering  
3. Mechanical and Manufacturing Engineering
4. Interdisciplinary Studies

According to other sources, the departments are:
1. Civil and Environmental Engineering
2. Electrical and Information Engineering
3. Marine Engineering and Naval Architecture
4. Mechanical and Manufacturing Engineering

The most recent information from the official faculty website shows the departments as:
- Civil and Environmental Engineering
- Electrical and Information Engineering
- Marine Engineering and Naval Architecture  
- Mechanical and Manufacturing Engineering

It's recommended to check the official Faculty of Engineering website for the most current and accurate department information, as department structures and names may be updated periodically."
1,18:23:02,can u give it in very brief,"

The Faculty of Engineering, University of Ruhuna has **4 departments**."
1,18:23:54,give the names of the departments as a list,"
Here are the departments of the Faculty of Engineering, University of Ruhuna:

1. Civil and Environmental Engineering
2. Electrical and Information Engineering
3. Marine Engineering and Naval Architecture
4. Mechanical and Manufacturing Engineering"
